user_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
410,62,,,,,,,,,29,,,,,,,,,,,88,,,,87,,,,,27,,,,,73,21,,,,,,,,,,,,,83,73,,,,,,,,,,,43,,94,65,,,,74,90,,97,,,77,,,,91,,,89,,,,,,78,,,,,,41,76,,,82,,,84,,2,84,,,,,,,,56,100,,,,95,,,,,,,,,,,,,,,,,,91,,78,,,,,74,,,83,,,12,,,,,,,,,,,93,,,,,93,,,,,,,,94,,90,,18,,,,79,,,,,,,,,,94,,,75,,71,92,,,,,,99,72,,,,,,,,,,,,,,,83,,,,,,,90,,,,,,,,,,,,,,,,95,,,,71,,,,,,,,,,,,,,,,,,,20,,,,91,,,,,,84,,,,,,,,72,,70,,,,,,,,,29,,97,,,,,97,,,,92,30,71,,,66,,,,,,,77,,,,,,,,,,,,2,,,,,75,,82,,13,56,,,,,,64,,,94,,,,89,,89,92,,,78,,88,,,,99,,,,,,79,,93,,75,,83,83,,,,,,,,,,,,,,73,,,98,,10,,,,72,,8
411,,,,,,,,,,,,19,,99,99,90,,,,,93,,,,95,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,84,,,,,,,99,,,,,,33,,,,,,72,,,,,,,,,,,,50,87,,,24,,,,,,,83,,76,67,,,98,,,82,90,93,,,,,41,,,97,,,,79,,,,,,,,,,,,,,,,,,,77,,,65,,,,54,,,,,,,,,,,,,96,90,,56,,,,,,,,,70,,81,,,,,94,,,86,84,,,,,,,,,88,,,80,,,,86,,,,85,,32,97,,,79,,,,,,,84,,96,,,,,,74,,98,,,,,,,,,,,,,,,,,,,,,98,72,,,,,,,,,,,,55,,,,,,,,94,,,,,,,16,,,,,13,,,,,77,,82,,,,,,,,,,,,,91,39,,26,77,,,,,,,,,,,,76,,,,,89,72,,,,,30,,,,,,96,,73,,,79,71,,,,,,,,,,73,,,,,76,,,,,,,,,,,,,,61,88,,,,,,95,,32,,,,,90,,,,,,,,,,96,77,,,75,,2,98,,
412,,,,,,,,,,,,46,,,79,,,,,31,,45,,,91,,,,75,,,,,92,94,,,,,,29,,,,,,,,,,,,,,90,,,85,,,45,97,,,,,,,,,,,,,,,,71,,,,,,52,,,98,,85,52,98,,,87,35,53,,74,,,,,,,,73,72,99,75,66,,,,,,,,,,,,,,,,61,,,,99,,,,,,,,,,,,,,,,,,100,,63,,,,,91,,,,,,,,81,,75,,82,,,,,,,35,,55,,75,83,,,,,,,,,,,,,,,83,,,,,,,,95,,,,59,,,,95,,,,,,80,,,,,,,,87,,,,,,,,,,,,,,32,,,,,,,,34,,,,,61,,,,,,,14,,,,,,,,,,,,,,,87,,,,,,,,,,81,,,,,81,,,,,,71,,,,91,97,,,,,,70,84,,,,,,,,,88,,70,,,77,91,,,,74,,56,,,,,,,,,,,53,,,,,,77,,70,,,,89,,,72,,,,,79,,,,79,,,,,,79,48,73,,,,71,,,,,75,,,,,,83,,,,,,,93,,,,,,87,,
413,,,82,,,,,,,,86,76,,,,,,,,,73,,,9,,,,,,,,,,85,89,,5,88,,,,,,,,75,75,,,,,,,,,,,,,,,92,89,,,,,,,,,,,91,,,37,86,,,92,,,,,,,,70,,,,,83,44,,,,,,53,77,91,,,,96,,90,,,4,,,,,,90,77,,,,,,,,,,,,,,,81,,86,,,,,83,,,,,,,,,,,,,26,96,,,,,,,70,,,81,,88,,,,,96,87,,,49,,86,,,73,81,76,,,,,62,,,,98,,,97,,,,,,,,,,,,,,,84,11,,,,72,,79,,,,,,,84,79,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,72,93,76,,,81,,,,72,90,,,79,,44,,85,,,,,,,82,,,,,,,,,,,,79,,,,74,,,,,,,,,,89,,,95,,25,,20,,,,,,95,,74,,,,84,,91,84,,,,47,71,,,,,,,,,76,86,,,,,,94,,90,,20,74,,92,,,76,,,,,,,,73,,,,,,86,,
414,,,,,,,,,,,,11,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,42,,97,99,,,81,95,,,,,,,,,86,,,71,,,,,,,86,,,,,93,,,,,17,,78,,,,,62,86,,,,,26,,,,,98,,,,,27,89,,,,90,,80,,72,,,,,,,,,,,,,,,,,7,,38,,84,,,,73,,,,,,,,,,,,,,,,,,,97,,60,,88,,,,87,,,,87,,,,,92,92,,,,,89,78,,,97,,,,,,,,,,,,,,45,,70,,,96,,,,,,,89,,,30,,,,94,73,,,,,,,71,,,,,,,,64,,,,,,,11,,,,,81,,,,,,,,,,11,,,,,,,,,,,,,,89,,,2,,,96,,,,68,,,,83,,78,73,,99,,,,,,73,,,,,91,,,,,,,,,98,,,,,,,,,,,,,56,,82,83,,,,,,,,,,,,77,,,,,,,35,,,73,,,,98,48,81,73,75,78,,,,,,,,,,,,,,,,,,,,,,,,,,86,,70,,,,,,,,,,,,65,,,,,76,,
415,,,,,,,,,,,85,,,,77,,,,,,93,,,,77,,,,,,,,,88,,,,,,,,,,,,79,76,,,75,68,,,,,49,,,,,,,,,,,,,,,,,,,,,,,97,,91,,,,,,,,80,,,,,,,,,,,,1,55,,,,,,86,90,,,,,,,91,,,,,,,,,,,,,,,,80,,99,,,,,,41,71,,,92,,,,,17,,,,,,81,,,,72,,,,84,,,,,,,,78,,81,,,,,83,,,86,78,,,,,,,,,97,,,77,,,,,,,,85,,,,,,,78,92,,100,,,74,81,70,,,,,,,95,85,32,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,77,,,,,,,,73,77,,95,,,,,,92,,,,,17,,,,86,,,,,,,,,,30,,10,,74,,82,,70,50,,84,,75,,,,25,,48,,,,75,,70,,,26,,,,,,,99,,91,,,,,74,,,,,96,,82,,,,76,,,,,,,,81,,,,73,,15,,24,73,,97,,85,,30,,33,,,,,85,,,,,,70,,
416,,,,,,,56,33,,,75,,,,82,,,,,,76,,,,74,,,,97,,,72,,95,94,,,88,,,,,,,,,88,,74,,,12,3,,79,,,71,,,,76,,,,,,,,,67,47,,90,,,,80,92,,,4,,,,,,,,,,,,74,,,,72,89,,,,,,,72,,,,,,,,,,70,,,,,,,,,,,,,,,,,42,,,,,,,,73,,,90,16,,,,,,,,,,81,,,45,89,,,,89,,84,,,94,,,,,,,,,,96,,,98,96,,15,,,,,99,,93,,,,,,,89,,,88,84,,,,,,,76,,,,,,96,93,,,,,,,,,99,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,3,,,,,91,71,,,,,,84,,,,,,,,97,,86,75,,,,,,,,,,73,,,,71,74,,,79,89,,75,,,,,,,,,,93,,,,,,81,82,,,,,,,6,,,,8,82,,,,,,,,4,,,,92,,,,,71,90,,,43,83,,77,,,,,,,,,,,,72,,,,70,,,,,,,95,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,29,72,,25,,,,,,,,,,,,,,,,,,,,,,79,,12,,,,,,,,,,,,88,,,,,,87,,,,36,,,,92,83,,,,33,76,,,,,,,,,97,58,,94,,,,,,,,88,90,,59,,83,,,,98,,,,,,70,,,91,,94,,,,,,,,,72,,,,,,,10,,86,,,,,,,91,,,,,,,,89,,72,41,,,,,,,,82,,,,,,,,,,,45,79,,78,,,,83,,85,,,,,84,,,,,,,,,,,72,,82,80,,77,,,,,,,,,,,94,,,82,77,92,,,,1,,,,,,,,,,75,92,,,,,,,,,,,44,,,,,,,,,,,97,,,,,,,,,,,20,,,8,,,,,,76,42,,,,,,,,,,,,,83,1,70,,,98,,,,99,,,,82,,,,93,,,,,81,,,80,56,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,70,43,80,,,,,81,,,,,,,,,85,,,,,85,99,,77,,,,74,,,,,76,99,,,,82,,,,,,,35,,,,,49,,75,,
418,,,,,,,,,,,,,,,84,,,,,,,,,,95,,,,,,,,,,93,,,,,83,,50,,39,93,,71,,94,79,,,,,78,94,,,,,,,,,,,,,85,,,,,91,,,,,,76,,,,,,,84,,,,,,,70,,,76,,98,,,,99,15,,,84,80,79,,,,,,,72,89,,,,,,,,,,,,,17,,,,,65,,,88,,,,,,72,,,,,,,,,95,,,,,,94,,,,,,,,99,,,,97,83,73,74,,,,92,,,,,,,,,,69,77,,,80,,90,,,59,,,,86,77,,,91,32,,,71,,,,47,,,94,88,,,6,,,,,94,,77,,,,,,19,,,,,,,,,,96,,,,86,,,,,,,,,,68,,,,27,,,,,,89,,65,,,,95,,,,,,,,,,,78,,,,,,,,,,,,,,96,72,,,,83,,84,,,,,,,,,,74,,70,,,,,74,,,,,,,,54,,73,,92,,30,,,,,,,,,,75,,,,,83,74,97,,,,,,,,,,,,,66,,,,,,,,77,,12,,89,85,,,,,,,42,,47,,,,,,,,,,70,,
419,,24,,,,,,,,,,,45,,,76,100,,86,,,,,,,,,80,,,12,,,92,93,,,,,99,60,,,,,,,,,,,,,,,,,,,,69,72,92,,,,95,68,,,,,,97,,,,,,,97,,,93,,,75,,73,,71,,,85,,,,,89,,,,89,,,,73,72,,,,,,,,80,,87,,,,,,,55,,,,39,,,,,86,,,,,,,72,,66,,,,,,60,,,,,,81,,,,,,,90,,,,,,,,,,,,,,,,91,76,,,,,45,,54,,,,,,78,,78,,,,,,,,78,,,97,,,,,,,,,,,,70,,,,92,32,92,,78,,,,,,81,42,,35,,,,,,,,,93,19,,,74,,,,,,,,,16,,,,,,78,,,,78,87,,,,,,,,,,,,,,,,,,,93,,,,76,,,,92,,,,,,,,,,,70,,58,,,,,,92,,,,97,,,,86,,48,,,93,,,,,,,,87,,,,,,,,42,70,97,,,,,55,,88,,,,,,,,,,,72,,,,,,83,,,,,70,92,,,,80,,,96,,42,,,,,,,,32,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,84,,,,74,,,,,,92,,,90,,,,,,9,,,,,,78,,,91,87,,,,,77,,,85,,,,,92,,,,,,70,,,,,,,,,90,,,80,74,,,,,,,,,,,27,,,,74,86,90,,,52,86,,,82,,86,71,,,,,,,,,73,27,,,,,,,,,94,,,,,,79,37,77,,,,69,,,,75,3,,,,,,,,,,,33,,,73,,,70,98,,89,,93,,,,,,83,,,30,,,95,,,85,,,,,,,,,75,,,86,91,,,91,4,,84,,,49,89,,,93,96,,,,,,94,95,,,,22,,,79,94,81,,,,,,,,,,30,,,,,,,,,,,3,,,,,,,49,,99,37,,,,,,,,,,,95,,,,,,,,,,,,6,,84,,71,,,,,,,89,94,,,73,,67,,,,,,,90,,,,,,,,,,,,,,,,,,91,99,,,,,,,,,,,,79,,,,,,,,,,71,,87,,,,87,,,90,,,,,70,,,,,,,,36,,,,,,,,,,,,42,,,,,,,,,,,89,,,76,,,,,,93,,
421,,19,,,23,,,,,,83,,,,,,,,,89,,,,,95,42,,35,20,,,41,33,74,,,,,41,,,,,,,,92,,84,95,,,,,89,,87,12,,,,,80,,,47,,,81,,,,,93,,,,78,47,,,,,32,,95,89,47,,,,,,82,,,99,98,92,,,,83,,,97,86,,,,,,,,,92,,,,,,,,,,,,,55,,55,91,,,,,,,41,,,,,94,,,,,,,,,,,97,96,84,,73,4,,,90,,82,,,,,88,,,,,,,,,75,,92,80,,,,,84,,82,71,94,,,76,,,,80,,,95,,,8,,,,,,,85,,,,,79,73,,,74,,,,,,72,,,,,100,,,,,,,,,,,,96,,,,,,,11,84,,,,,,,,,77,,,,,,,79,,,,,,83,,,,,,,36,,,70,86,,79,,,,,,,,,,,,76,,,,61,,,85,,70,,,53,,,,,,,,,,,95,92,,,,,,,,,,95,11,80,,,,,,,,,,95,,86,,90,,97,80,72,,,,80,,99,,,,77,,,,,,,,89,,,,95,,,,,82,,,,,,,87,,,,,,,,,,,,,,
422,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,12,99,83,,,,,,,,,,,,,81,,70,,,,,97,,,,,,,86,97,,,78,17,,87,24,,5,,,,,41,82,,74,,96,,,,,92,,,,,,,,68,,83,85,84,30,,,95,,49,,,71,71,,,,,,,,,,,,,,,,,,13,,,,83,86,,,,,,,,,94,,,82,,,,,,22,,,,,92,24,,,,,,,,,,,,,,,99,,97,,,,,94,78,,,83,,,73,,2,19,89,60,92,,,80,93,,,95,81,,,,,,84,,,75,98,76,,,,,89,,92,,,,,,,77,73,,,,,,,,,,,,,52,,,,,80,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,51,,,35,,,,,,,,89,53,,,74,,,,93,,,,84,,58,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,29,86,,79,,,,84,,,84,55,,82,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,15,,,,
423,,,,,,,,73,,,89,,,,72,,,,,,96,,,,95,,,,,,,,,85,,,,,,,,,3,,75,78,,72,,,,,,,90,,,,,,,,76,,96,36,,,,,,,,,,,,88,,,,,23,,,,,,,92,,,,85,,,73,95,,,11,32,72,,,71,79,87,78,,,,,,,98,,,25,6,,,,,,,,,,,,,,,,84,,,,,97,,,,,,30,,,,,,,,,,,,95,,,,,,73,,,,,,,,,,,,,,96,,,,,,,,93,,70,31,,79,,,,78,,,,,,72,,,,,,,94,,,,,,,,,,,,50,,,,,,,,,,,,18,,,,,,,,,,83,,,,75,43,,,,,,,,,,,,,,,,,,,,,70,,,,85,,,,,,34,,,12,,91,,,,,,72,,,,84,,18,,,,,,,78,,,,,36,,,,,,51,72,,,,,89,,,,,43,,,,,,,,,97,,,,,,,,,,,,78,,,,87,,,76,,,70,,84,,,,,,,,,,74,,75,,,,83,53,,,,,9,80,34,,,,,,,,,,92,,,,,,,,
424,,31,,89,,,,,,,89,,,,88,,12,,,,95,,,,,,60,,,,,,95,,,,,,22,51,,25,,,,78,,,,,,,,,79,,61,,28,51,,83,82,,,,70,,,,,,,84,,,,78,,,,,,,,,70,,78,,79,,,83,,,,,91,,,,,,26,,85,77,,,,74,,,,,,76,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,34,10,80,,,,,,,,82,,,,,,,,,,83,,14,,,,94,,,94,,71,,,,,,,,90,,94,,,,,,,78,,,,,,,,89,74,,,,,74,,,,,40,,,,91,,,40,,,,,,,,,,,37,,,,,70,,,5,,,,,48,79,,24,32,,,,,,,,,,,,86,,,,,,89,,,,,,,,86,,91,77,,,,,,73,,75,,,,,,70,,,,,89,,,78,,,,,,,,89,,,,,,86,85,99,,,,,,,57,,,97,5,,,,,,,,,,,,30,72,,,,,,,,,,,,80,,,,,,,,,,96,,86,,36,,84,,,,,84,,,,,,,,57,,,,,79,,,,,,86,,
